sp,tbill,tbond
43.81,3.08,0.84
-8.30,3.16,4.20
-25.12,4.55,4.54
-43.84,2.31,-2.56
-8.64,1.07,8.79
49.98,0.96,1.86
-1.19,0.32,7.96
46.74,0.18,4.47
31.94,0.17,5.02
-35.34,0.30,1.38
29.28,0.08,4.21
-1.10,0.04,4.41
-10.67,0.03,5.40
-12.77,0.08,-2.02
19.17,0.34,2.29
25.06,0.38,2.49
19.03,0.38,2.58
35.82,0.38,3.80
-8.43,0.38,3.13
5.20,0.57,0.92
5.70,1.02,1.95
18.30,1.10,4.66
30.81,1.17,0.43
23.68,1.48,-0.30
18.15,1.67,2.27
-1.21,1.89,4.14
52.56,0.96,3.29
32.60,1.66,-1.34
7.44,2.56,-2.26
-10.46,3.23,6.80
43.72,1.78,-2.10
12.06,3.26,-2.65
0.34,3.05,11.64
26.64,2.27,2.06
-8.81,2.78,5.69
22.61,3.11,1.68
16.42,3.51,3.73
12.40,3.90,0.72
-9.97,4.84,2.91
23.80,4.33,-1.58
10.81,5.26,3.27
-8.24,6.56,-5.01
3.56,6.69,16.75
14.22,4.54,9.79
18.76,3.95,2.82
-14.31,6.73,3.66
-25.90,7.78,1.99
37.00,5.99,3.61
23.83,4.97,15.98
-6.98,5.13,1.29
6.51,6.93,-0.78
18.52,9.94,0.67
31.74,11.22,-2.99
-4.70,14.30,8.20
20.42,11.01,32.81
22.34,8.45,3.20
6.15,9.61,13.73
31.24,7.49,25.71
18.49,6.04,24.28
5.81,5.72,-4.96
16.54,6.45,8.22
31.48,8.11,17.69
-3.06,7.55,6.24
30.23,5.61,15.00
7.49,3.41,9.36
9.97,2.98,14.21
1.33,3.99,-8.04
37.20,5.52,23.48
22.68,5.02,1.43
33.10,5.05,9.94
28.34,4.73,14.92
20.89,4.51,-8.25
-9.03,5.76,16.66
-11.85,3.67,5.57
-21.97,1.66,15.12
28.36,1.03,0.38
10.74,1.23,4.49
4.83,3.01,2.87
15.61,4.68,1.96
5.48,4.64,10.21
-36.55,1.59,20.10
25.94,0.14,-11.12
14.82,0.13,8.46
2.10,0.03,16.04
15.89,0.05,2.97
32.15,0.07,-9.10
13.52,0.05,10.75
1.38,0.21,1.28
11.77,0.51,0.69
21.64,1.39,2.80
